Facility_ID,Reception_Room(s),Consultation_Room(s),Dressing_Room(s),Ward_Room(s),Injection_Room(s),Observation_Room(s),Remarks,Patient_Beds,Deliery_Beds,Baby_Cots,Ambulances,Cars,Motorcycles,Other_Transport,Sterilazation_and_Infection_Control,Means_of_Transport_to_Referral_Point,Distance_to_Referral_Point,Challanges/Remarks_to_Referral_Point,Other_Source_of_Energy,Other_Mobile_Networks,Other_Source_of_Water,Toilet_Remarks,Other_Waste_Management
112568-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111419-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111914-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113493-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110129-4,1,1,1,2,Not set,Not set,Not set,8,Not set,Not set,1,2,1,Not set,,Not set,3,Not set,Not set,Not set,Not set,Not set,Not set
111462-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109777-3,1,2,1,Not set,Not set,Not set,Not set,3,Not set,Not set,Not set,Not set,Not set,Not set,,Private transport,1/2 km,Not set,Not set,Not set,Shallow well,Not set,Not set
112138-3,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Privete Transport,78km,Not set,Not set,Hallotel,Not set,Not set,Not set
110373-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100303-7,1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110874-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112583-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112993-1,1,1,Not set,Not set,Not set,Not set,Optical workshop roomavailable,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dustbins
112721-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111841-3,2,20,10,7,Not set,10,Rooms at phase I bulding are improvised to suit for hospital service delivery,400,5,Not set,1,2,Not set,Not set,,Vehicle (Ambulance),451km,Long distance,Not set,Not set,Not set,Not set,Not set
113530-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112627-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112617-6,1,1,Not set,Not set,Not set,Not set,New facility created fhr,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dust bins
113161-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100367-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113438-6,1,1,Not set,Not set,Not set,Not set,Laboratory,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Self Refferal,3m,Inadequate transportemergency is issue how to get transport,Not set,Not set,Not set,Not set,Not set
113272-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111991-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113116-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111918-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100412-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113489-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100430-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100442-3,1,1,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,public/private,9 km,Not set,Not set,Ttcl,Not set,Not set,Not set
100443-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113362-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112228-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100465-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100484-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109684-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100535-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109333-5,1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100550-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113718-1,1,1,1,Not set,Not set,2,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Public Transport,18km,During Rain season,Not set,Not set,Not set,Not set,Not set
113714-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113882-5,1,2,1,2,1,2,Observation rooms are also used as wards,4,1,Not set,2,1,Not set,Not set,,Ambulance,15 km,-,Not set,Not set,Not set,Not set,They are using incinerator of Dodoma Regional Referral Hospital
100579-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100584-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100595-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112140-9,1,1,1,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Private Car,36km,Rough road,Not set,Not set,Not set,Not set,Not set
100618-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112554-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112895-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112788-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111770-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110710-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100674-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112856-0,1,1,Not set,Not set,Not set,Not set,Optical workshop room available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dust bins
112530-1,1,3,1,4,Not set,1,good,12,Not set,Not set,Not set,1,Not set,self transport,self transport,Private transport,5 KM,None,generator,Not set,Not set,Not set,Transferred to Majengo health centre
112551-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100678-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100680-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112779-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112821-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111575-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100693-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113799-1,1,1,1,1,1,1,well contracted,1,1,Not set,Not set,Not set,Not set,Not set,0,car,43 KM,No incinerator and placenta pit,Not set,Not set,Not set,It need more toilets not only one,Not set
113853-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112456-9,1,1,1,2,Not set,1,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,Ambulance,5km,Not set,Not set,Halotel,Not set,Not set,Not set
113155-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111574-0,Not set,1,1,Not set,1,Not set,Not set,2,1,Not set,Not set,Not set,Not set,public transport buses mcycle,public transport buses mcycle,public car,7 Kms,Not set,Not set,Not set,hand pump near the facility,Not set,Not set
109377-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113572-2,Not set,1,1,Not set,Not set,1,No ward room,2,1,Not set,Not set,Not set,Not set,none,none,private,2km,private transport facility is near by hospital,none,halotel,none,has toilet system,has waste system
111800-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112246-4,1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113332-1,1,3,Not set,Not set,Not set,Not set,Optical workshop office & store room available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dustbins
111809-0,1,1,1,Not set,1,2,Good,3,Not set,Not set,Not set,Not set,Not set,Not set,,Ambulance /Private car,26km,Traffic jam,Not set,Not set,Not set,Not set,Not set
111762-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113117-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,NON,Not set,Not set,Not set,Not set,Not set
113170-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100810-1,Not set,1,1,Not set,Not set,Not set,No observation Room and reception room,1,1,Not set,Not set,Not set,Not set,Not set,,car and motor cycle,28 km,None,Not set,Not set,Not set,Not set,Not set
100812-7,1,1,1,Not set,Not set,Not set,Not set,1,2,Not set,Not set,Not set,Not set,Not set,,Calling Abullance to nearby Hospital,80,Poor Geographical/road Infrastructure,Not set,No network,river water,Not set,Not set
110345-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109796-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100856-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112311-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111760-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112178-9,1,1,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,16,rough road,Not set,Halotel,Not set,Not set,Not set
100885-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113505-2,1,1,Not set,Not set,Not set,Not set,Laboratory,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Private car,30km,Inadequate transportemergency is issue how to get transport,Not set,Not set,Not set,Not set,Not set
112921-2,1,Not set,Not set,Not set,Not set,Not set,optical workshop room available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dustbins
