Facility_ID,Type of Infrastructure,Value
100367-2,Source_of_Energy,Not set
113438-6,Source_of_Energy,National Grid
113272-9,Source_of_Energy,Not set
111991-6,Source_of_Energy,Not set
113116-8,Source_of_Energy,Not set
111918-9,Source_of_Energy,Not set
100412-6,Source_of_Energy,Not set
113489-9,Source_of_Energy,Not set
100430-8,Source_of_Energy,Not set
100442-3,Source_of_Energy,No Electricity
100443-1,Source_of_Energy,Not set
113362-8,Source_of_Energy,Not set
112228-2,Source_of_Energy,Not set
100465-4,Source_of_Energy,Not set
100484-5,Source_of_Energy,Not set
109684-1,Source_of_Energy,Not set
100535-4,Source_of_Energy,Not set
109333-5,Source_of_Energy,Not set
100550-3,Source_of_Energy,Not set
113718-1,Source_of_Energy,National Grid
113714-0,Source_of_Energy,Not set
113882-5,Source_of_Energy,National Grid
113882-5,Source_of_Energy,Generator
100579-2,Source_of_Energy,Not set
100584-2,Source_of_Energy,Not set
100595-8,Source_of_Energy,Not set
112140-9,Source_of_Energy,National Grid
112140-9,Source_of_Energy,Solar Panels
100618-8,Source_of_Energy,Not set
112554-1,Source_of_Energy,Not set
112895-8,Source_of_Energy,Not set
112788-5,Source_of_Energy,Not set
111770-4,Source_of_Energy,Not set
110710-1,Source_of_Energy,Not set
100674-1,Source_of_Energy,Not set
112856-0,Source_of_Energy,National Grid
112530-1,Source_of_Energy,National Grid
112551-7,Source_of_Energy,Not set
100678-2,Source_of_Energy,Not set
100680-8,Source_of_Energy,Not set
112779-4,Source_of_Energy,Not set
112821-4,Source_of_Energy,Not set
111575-7,Source_of_Energy,Not set
100693-1,Source_of_Energy,Not set
113799-1,Source_of_Energy,Solar Panels
113853-6,Source_of_Energy,National Grid
112456-9,Source_of_Energy,National Grid
112456-9,Source_of_Energy,Generator
113155-6,Source_of_Energy,Not set
111574-0,Source_of_Energy,National Grid
109377-2,Source_of_Energy,Not set
113572-2,Source_of_Energy,National Grid
111800-9,Source_of_Energy,Not set
112246-4,Source_of_Energy,Not set
113332-1,Source_of_Energy,National Grid
111809-0,Source_of_Energy,National Grid
111762-1,Source_of_Energy,Not set
113117-6,Source_of_Energy,National Grid
113170-5,Source_of_Energy,Not set
100810-1,Source_of_Energy,National Grid
100812-7,Source_of_Energy,Solar Panels
110345-6,Source_of_Energy,Not set
109796-3,Source_of_Energy,Not set
100856-4,Source_of_Energy,Not set
112311-6,Source_of_Energy,Not set
111760-5,Source_of_Energy,Not set
112178-9,Source_of_Energy,Solar Panels
100885-3,Source_of_Energy,Not set
113505-2,Source_of_Energy,National Grid
112921-2,Source_of_Energy,National Grid
113256-2,Source_of_Energy,Not set
113465-9,Source_of_Energy,Not set
113051-7,Source_of_Energy,Not set
113507-8,Source_of_Energy,National Grid
112557-4,Source_of_Energy,Not set
111291-1,Source_of_Energy,Not set
100915-8,Source_of_Energy,Not set
100920-8,Source_of_Energy,Not set
111618-5,Source_of_Energy,National Grid
110144-3,Source_of_Energy,National Grid
110144-3,Source_of_Energy,Generator
110824-0,Source_of_Energy,Not set
111985-8,Source_of_Energy,Not set
100937-2,Source_of_Energy,Not set
100939-8,Source_of_Energy,Not set
112599-6,Source_of_Energy,National Grid
110972-7,Source_of_Energy,National Grid
113435-2,Source_of_Energy,National Grid
113058-2,Source_of_Energy,Not set
112729-9,Source_of_Energy,National Grid
113086-3,Source_of_Energy,Not set
112925-3,Source_of_Energy,National Grid
100965-3,Source_of_Energy,Not set
113477-4,Source_of_Energy,Not set
113237-2,Source_of_Energy,Not set
112945-1,Source_of_Energy,National Grid
112923-8,Source_of_Energy,Not set
112014-6,Source_of_Energy,Not set
112847-9,Source_of_Energy,Not set
112845-3,Source_of_Energy,Not set
113461-8,Source_of_Energy,National Grid
112620-0,Source_of_Energy,Not set
113165-5,Source_of_Energy,Not set
112681-2,Source_of_Energy,Not set
112911-3,Source_of_Energy,Not set
113359-4,Source_of_Energy,National Grid
113053-3,Source_of_Energy,Not set
112944-4,Source_of_Energy,Not set
111298-6,Source_of_Energy,Not set
112562-4,Source_of_Energy,Not set
113181-2,Source_of_Energy,Not set
113475-8,Source_of_Energy,Not set
112544-2,Source_of_Energy,Not set
113130-9,Source_of_Energy,Not set
113540-9,Source_of_Energy,Not set
113486-5,Source_of_Energy,Not set
112546-7,Source_of_Energy,Not set
101072-7,Source_of_Energy,Not set
113432-9,Source_of_Energy,National Grid
113397-4,Source_of_Energy,Not set
113681-1,Source_of_Energy,Not set
113205-9,Source_of_Energy,Not set
113293-5,Source_of_Energy,Not set
112754-7,Source_of_Energy,National Grid
112761-2,Source_of_Energy,Not set
112147-4,Source_of_Energy,National Grid
112731-5,Source_of_Energy,National Grid
113398-2,Source_of_Energy,Not set
113210-9,Source_of_Energy,Not set
112758-8,Source_of_Energy,National Grid
113480-8,Source_of_Energy,Not set
113042-6,Source_of_Energy,Not set
113396-6,Source_of_Energy,Not set
101128-7,Source_of_Energy,Not set
112943-6,Source_of_Energy,National Grid
112645-7,Source_of_Energy,Not set
112916-2,Source_of_Energy,Not set
112957-6,Source_of_Energy,Not set
112663-0,Source_of_Energy,Not set
112580-6,Source_of_Energy,Not set
112794-3,Source_of_Energy,Not set
112904-8,Source_of_Energy,Not set
101140-2,Source_of_Energy,Not set
101141-0,Source_of_Energy,Not set
112703-4,Source_of_Energy,Not set
111823-1,Source_of_Energy,Not set
113472-5,Source_of_Energy,Not set
112577-2,Source_of_Energy,Not set
112773-7,Source_of_Energy,National Grid
112928-7,Source_of_Energy,National Grid
113055-8,Source_of_Energy,Not set
112775-2,Source_of_Energy,Not set
113077-2,Source_of_Energy,Not set
113209-1,Source_of_Energy,Not set
112956-8,Source_of_Energy,Not set
112791-9,Source_of_Energy,Not set
113474-1,Source_of_Energy,Not set
113680-3,Source_of_Energy,Not set
112932-9,Source_of_Energy,Not set
112676-2,Source_of_Energy,Not set
112500-4,Source_of_Energy,Not set
112718-2,Source_of_Energy,National Grid
113440-2,Source_of_Energy,Not set
111203-6,Source_of_Energy,Not set
111875-1,Source_of_Energy,National Grid
111875-1,Source_of_Energy,Generator
113424-6,Source_of_Energy,Not set
113574-8,Source_of_Energy,National Grid
113072-3,Source_of_Energy,Not set
111332-3,Source_of_Energy,National Grid
101275-6,Source_of_Energy,Not set
113079-8,Source_of_Energy,Not set
113198-6,Source_of_Energy,Not set
112678-8,Source_of_Energy,Not set
101323-4,Source_of_Energy,Not set
101326-7,Source_of_Energy,Not set
112884-2,Source_of_Energy,National Grid
113490-7,Source_of_Energy,Not set
113498-0,Source_of_Energy,Not set
112537-6,Source_of_Energy,Not set
112515-2,Source_of_Energy,National Grid
113501-1,Source_of_Energy,Not set
113221-6,Source_of_Energy,Not set
101349-9,Source_of_Energy,Not set
112148-2,Source_of_Energy,National Grid
111777-9,Source_of_Energy,Not set
110366-2,Source_of_Energy,Not set
111814-0,Source_of_Energy,Not set
109547-0,Source_of_Energy,Solar Panels
112053-4,Source_of_Energy,Not set
101366-3,Source_of_Energy,Not set
113466-7,Source_of_Energy,National Grid
112913-9,Source_of_Energy,Not set
112036-9,Source_of_Energy,Not set
112564-0,Source_of_Energy,Not set
113273-7,Source_of_Energy,Not set
113306-5,Source_of_Energy,Not set
111990-8,Source_of_Energy,Not set
113371-9,Source_of_Energy,Not set
101390-3,Source_of_Energy,Solar Panels
113044-2,Source_of_Energy,Not set
112644-0,Source_of_Energy,Not set
101400-0,Source_of_Energy,Not set
113050-9,Source_of_Energy,Not set
101406-7,Source_of_Energy,Not set
101412-5,Source_of_Energy,National Grid
101412-5,Source_of_Energy,Generator
110942-0,Source_of_Energy,Not set
101418-2,Source_of_Energy,Not set
113097-0,Source_of_Energy,Not set
101422-4,Source_of_Energy,Not set
111943-7,Source_of_Energy,National Grid
113236-4,Source_of_Energy,Not set
112807-3,Source_of_Energy,Not set
101444-8,Source_of_Energy,Not set
109148-7,Source_of_Energy,Not set
113863-5,Source_of_Energy,Not set
101467-9,Source_of_Energy,Not set
101482-8,Source_of_Energy,Not set
101486-9,Source_of_Energy,Solar Panels
101487-7,Source_of_Energy,Not set
101490-1,Source_of_Energy,Not set
101502-3,Source_of_Energy,Not set
113462-6,Source_of_Energy,National Grid
109738-5,Source_of_Energy,Not set
112024-5,Source_of_Energy,Not set
111765-4,Source_of_Energy,Not set
112025-2,Source_of_Energy,Not set
101582-5,Source_of_Energy,Not set
101591-6,Source_of_Energy,Not set
112017-9,Source_of_Energy,Not set
112233-2,Source_of_Energy,Solar Panels
101608-8,Source_of_Energy,No Electricity
113149-9,Source_of_Energy,Solar Panels
101621-1,Source_of_Energy,Solar Panels
101631-0,Source_of_Energy,Not set
111722-5,Source_of_Energy,Not set
111763-9,Source_of_Energy,Not set
113836-1,Source_of_Energy,Not set
109735-1,Source_of_Energy,Not set
111758-9,Source_of_Energy,Not set
101721-9,Source_of_Energy,Solar Panels
112239-9,Source_of_Energy,Solar Panels
101745-8,Source_of_Energy,Not set
112992-3,Source_of_Energy,Not set
113855-1,Source_of_Energy,Not set
111761-3,Source_of_Energy,Not set
113381-8,Source_of_Energy,Not set
101785-4,Source_of_Energy,Not set
101788-8,Source_of_Energy,Not set
112712-5,Source_of_Energy,Not set
112740-6,Source_of_Energy,Not set
101810-0,Source_of_Energy,Not set
112730-7,Source_of_Energy,National Grid
101814-2,Source_of_Energy,Not set
101820-9,Source_of_Energy,Generator
101820-9,Source_of_Energy,Solar Panels
101821-7,Source_of_Energy,Not set
112232-4,Source_of_Energy,Solar Panels
101839-9,Source_of_Energy,Not set
113113-5,Source_of_Energy,Not set
111922-1,Source_of_Energy,Not set
112950-1,Source_of_Energy,National Grid
113176-2,Source_of_Energy,Not set
101896-9,Source_of_Energy,Not set
101908-2,Source_of_Energy,Not set
113288-5,Source_of_Energy,National Grid
113288-5,Source_of_Energy,Generator
113288-5,Source_of_Energy,Solar Panels
113036-8,Source_of_Energy,Not set
101916-5,Source_of_Energy,National Grid
101929-8,Source_of_Energy,National Grid
109153-7,Source_of_Energy,Not set
101942-1,Source_of_Energy,Generator
101946-2,Source_of_Energy,Not set
113861-9,Source_of_Energy,Not set
109805-2,Source_of_Energy,Not set
101963-7,Source_of_Energy,Not set
111769-6,Source_of_Energy,Not set
111522-9,Source_of_Energy,Other
109141-2,Source_of_Energy,Not set
101979-3,Source_of_Energy,Solar Panels
111583-1,Source_of_Energy,Solar Panels
101987-6,Source_of_Energy,Not set
102043-7,Source_of_Energy,Not set
111759-7,Source_of_Energy,Not set
112625-9,Source_of_Energy,Not set
111501-3,Source_of_Energy,Not set
113061-6,Source_of_Energy,Not set
112672-1,Source_of_Energy,Not set
113167-1,Source_of_Energy,Not set
112563-2,Source_of_Energy,Not set
113200-0,Source_of_Energy,Not set
112885-9,Source_of_Energy,Not set
112687-9,Source_of_Energy,Not set
112954-3,Source_of_Energy,National Grid
113554-0,Source_of_Energy,Not set
112572-3,Source_of_Energy,Not set
106879-0,Source_of_Energy,Not set
112605-1,Source_of_Energy,National Grid
111979-1,Source_of_Energy,Not set
113384-2,Source_of_Energy,Not set
112519-4,Source_of_Energy,National Grid
102096-5,Source_of_Energy,Not set
112723-2,Source_of_Energy,Not set
113481-6,Source_of_Energy,Not set
113159-8,Source_of_Energy,National Grid
113502-9,Source_of_Energy,Not set
113573-0,Source_of_Energy,National Grid
113468-3,Source_of_Energy,Not set
113467-5,Source_of_Energy,National Grid
109685-8,Source_of_Energy,Not set
102127-8,Source_of_Energy,Not set
102135-1,Source_of_Energy,Not set
113473-3,Source_of_Energy,Not set
111754-8,Source_of_Energy,No Electricity
102171-6,Source_of_Energy,Not set
113338-8,Source_of_Energy,National Grid
112803-2,Source_of_Energy,Not set
102194-8,Source_of_Energy,Not set
112011-2,Source_of_Energy,Not set
111584-9,Source_of_Energy,National Grid
102214-4,Source_of_Energy,Not set
102226-8,Source_of_Energy,Not set
113807-2,Source_of_Energy,National Grid
102240-9,Source_of_Energy,Solar Panels
102245-8,Source_of_Energy,Not set
102246-6,Source_of_Energy,Not set
112692-9,Source_of_Energy,Not set
111523-7,Source_of_Energy,No Electricity
111523-7,Source_of_Energy,Other
102261-5,Source_of_Energy,Not set
111580-7,Source_of_Energy,Not set
111347-1,Source_of_Energy,Generator
111347-1,Source_of_Energy,Solar Panels
102285-4,Source_of_Energy,Not set
108532-3,Source_of_Energy,Not set
113367-7,Source_of_Energy,Not set
109842-5,Source_of_Energy,Not set
102300-1,Source_of_Energy,Not set
102301-9,Source_of_Energy,Not set
113243-0,Source_of_Energy,Not set
113225-7,Source_of_Energy,Not set
102331-6,Source_of_Energy,National Grid
113373-5,Source_of_Energy,Not set
113819-7,Source_of_Energy,National Grid
113808-0,Source_of_Energy,Not set
113259-6,Source_of_Energy,Not set
112968-3,Source_of_Energy,National Grid
112793-5,Source_of_Energy,National Grid
102399-3,Source_of_Energy,Not set
113444-4,Source_of_Energy,Not set
102443-9,Source_of_Energy,Solar Panels
111399-2,Source_of_Energy,Not set
102501-4,Source_of_Energy,Not set
113433-7,Source_of_Energy,National Grid
111752-2,Source_of_Energy,No Electricity
112142-5,Source_of_Energy,Not set
109025-7,Source_of_Energy,Not set
113425-3,Source_of_Energy,National Grid
111432-1,Source_of_Energy,Not set
112924-6,Source_of_Energy,Not set
102612-9,Source_of_Energy,Not set
112830-5,Source_of_Energy,Not set
109725-2,Source_of_Energy,National Grid
113723-1,Source_of_Energy,Not set
111913-0,Source_of_Energy,Not set
112670-5,Source_of_Energy,Not set
110888-5,Source_of_Energy,National Grid
113216-6,Source_of_Energy,Not set
110980-0,Source_of_Energy,Not set
109748-4,Source_of_Energy,Not set
113841-1,Source_of_Energy,Solar Panels
103867-8,Source_of_Energy,No Electricity
111772-0,Source_of_Energy,Not set
102801-8,Source_of_Energy,Not set
112889-1,Source_of_Energy,National Grid
102843-0,Source_of_Energy,Not set
109756-7,Source_of_Energy,Not set
111708-4,Source_of_Energy,Not set
113098-8,Source_of_Energy,Not set
102916-4,Source_of_Energy,Not set
113546-6,Source_of_Energy,Not set
112685-3,Source_of_Energy,Not set
112619-2,Source_of_Energy,Not set
112139-1,Source_of_Energy,National Grid
112139-1,Source_of_Energy,Solar Panels
102931-3,Source_of_Energy,No Electricity
111923-9,Source_of_Energy,Not set
112533-5,Source_of_Energy,Not set
110680-6,Source_of_Energy,Not set
109343-4,Source_of_Energy,Not set
111647-4,Source_of_Energy,National Grid
111647-4,Source_of_Energy,Generator
102974-3,Source_of_Energy,Not set
113090-5,Source_of_Energy,Not set
109146-1,Source_of_Energy,Not set
113345-3,Source_of_Energy,Not set
111755-5,Source_of_Energy,Solar Panels
111755-5,Source_of_Energy,Other
113101-0,Source_of_Energy,Not set
103076-6,Source_of_Energy,Not set
107299-0,Source_of_Energy,Not set
103084-0,Source_of_Energy,Not set
113711-6,Source_of_Energy,Not set
103108-7,Source_of_Energy,Not set
103117-8,Source_of_Energy,Not set
111439-6,Source_of_Energy,National Grid
103158-2,Source_of_Energy,Not set
109151-1,Source_of_Energy,Not set
109836-7,Source_of_Energy,National Grid
109836-7,Source_of_Energy,Solar Panels
111876-9,Source_of_Energy,National Grid
103191-3,Source_of_Energy,Solar Panels
111492-5,Source_of_Energy,National Grid
111492-5,Source_of_Energy,Solar Panels
111984-1,Source_of_Energy,Not set
112748-9,Source_of_Energy,Not set
113264-6,Source_of_Energy,Not set
103243-2,Source_of_Energy,Other
103265-5,Source_of_Energy,Not set
103267-1,Source_of_Energy,Not set
113496-4,Source_of_Energy,Not set
111129-3,Source_of_Energy,Not set
113404-8,Source_of_Energy,Not set
111652-4,Source_of_Energy,National Grid
111720-9,Source_of_Energy,Not set
112464-3,Source_of_Energy,Not set
111798-5,Source_of_Energy,Not set
111801-7,Source_of_Energy,Not set
112297-7,Source_of_Energy,Not set
111797-7,Source_of_Energy,Not set
111803-3,Source_of_Energy,Not set
111796-9,Source_of_Energy,Not set
113817-1,Source_of_Energy,National Grid
111804-1,Source_of_Energy,Not set
111921-3,Source_of_Energy,Not set
111924-7,Source_of_Energy,Not set
103413-1,Source_of_Energy,Not set
109697-3,Source_of_Energy,No Electricity
109493-7,Source_of_Energy,Not set
103437-0,Source_of_Energy,Not set
112927-9,Source_of_Energy,National Grid
112989-9,Source_of_Energy,Not set
112949-3,Source_of_Energy,Not set
113001-2,Source_of_Energy,Not set
113471-7,Source_of_Energy,Not set
113492-3,Source_of_Energy,Not set
113059-0,Source_of_Energy,Not set
111910-6,Source_of_Energy,National Grid
113437-8,Source_of_Energy,National Grid
111271-3,Source_of_Energy,Not set
113062-4,Source_of_Energy,Not set
112126-8,Source_of_Energy,National Grid
113499-8,Source_of_Energy,Not set
113756-1,Source_of_Energy,Not set
111400-8,Source_of_Energy,National Grid
112409-8,Source_of_Energy,National Grid
113579-7,Source_of_Energy,Not set
112634-1,Source_of_Energy,Not set
103540-1,Source_of_Energy,Not set
112308-2,Source_of_Energy,Not set
111192-1,Source_of_Energy,Not set
113294-3,Source_of_Energy,Not set
113351-1,Source_of_Energy,Not set
112427-0,Source_of_Energy,National Grid
113240-6,Source_of_Energy,Not set
113857-7,Source_of_Energy,Not set
111273-9,Source_of_Energy,Not set
103606-0,Source_of_Energy,Not set
103607-8,Source_of_Energy,Not set
112254-8,Source_of_Energy,National Grid
113253-9,Source_of_Energy,Not set
113263-8,Source_of_Energy,Not set
103631-8,Source_of_Energy,Not set
103635-9,Source_of_Energy,Not set
113558-1,Source_of_Energy,No Electricity
111723-3,Source_of_Energy,Not set
113755-3,Source_of_Energy,National Grid
103674-8,Source_of_Energy,Not set
113166-3,Source_of_Energy,Not set
113506-0,Source_of_Energy,National Grid
110985-9,Source_of_Energy,Not set
112905-5,Source_of_Energy,Not set
112970-9,Source_of_Energy,Not set
103740-7,Source_of_Energy,Solar Panels
113217-4,Source_of_Energy,Solar Panels
113218-2,Source_of_Energy,Solar Panels
103746-4,Source_of_Energy,Not set
103768-8,Source_of_Energy,Not set
112862-8,Source_of_Energy,Not set
112709-1,Source_of_Energy,Not set
112669-7,Source_of_Energy,Not set
103822-3,Source_of_Energy,Not set
113364-4,Source_of_Energy,Not set
103837-1,Source_of_Energy,Not set
112768-7,Source_of_Energy,Not set
113488-1,Source_of_Energy,Not set
111460-2,Source_of_Energy,Not set
113503-7,Source_of_Energy,Not set
112128-4,Source_of_Energy,National Grid
112128-4,Source_of_Energy,Generator
103879-3,Source_of_Energy,Not set
112449-4,Source_of_Energy,Not set
109030-7,Source_of_Energy,Not set
103908-0,Source_of_Energy,National Grid
113164-8,Source_of_Energy,Not set
103928-8,Source_of_Energy,Not set
110856-2,Source_of_Energy,Not set
111775-3,Source_of_Energy,National Grid
112146-6,Source_of_Energy,Not set
112585-5,Source_of_Energy,Not set
109145-3,Source_of_Energy,Not set
113879-1,Source_of_Energy,National Grid
103994-0,Source_of_Energy,Solar Panels
113372-7,Source_of_Energy,Not set
113277-8,Source_of_Energy,Not set
112706-7,Source_of_Energy,Not set
112784-4,Source_of_Energy,Not set
112819-8,Source_of_Energy,Not set
104054-2,Source_of_Energy,National Grid
111512-0,Source_of_Energy,National Grid
104065-8,Source_of_Energy,Not set
111568-2,Source_of_Energy,National Grid
111786-0,Source_of_Energy,No Electricity
111786-0,Source_of_Energy,Other
104088-0,Source_of_Energy,Not set
104093-0,Source_of_Energy,Not set
104096-3,Source_of_Energy,Not set
111657-3,Source_of_Energy,National Grid
111657-3,Source_of_Energy,Generator
112984-0,Source_of_Energy,National Grid
112857-8,Source_of_Energy,Not set
104148-2,Source_of_Energy,Solar Panels
113056-6,Source_of_Energy,Not set
104157-3,Source_of_Energy,Not set
113108-5,Source_of_Energy,Not set
111718-3,Source_of_Energy,Not set
111396-8,Source_of_Energy,Not set
113342-0,Source_of_Energy,Not set
104180-5,Source_of_Energy,Solar Panels
113057-4,Source_of_Energy,Not set
113230-7,Source_of_Energy,Not set
104197-9,Source_of_Energy,Not set
111544-3,Source_of_Energy,Not set
113202-6,Source_of_Energy,Not set
109784-9,Source_of_Energy,Not set
109686-6,Source_of_Energy,Not set
104245-6,Source_of_Energy,Solar Panels
113087-1,Source_of_Energy,Not set
104265-4,Source_of_Energy,Not set
111183-0,Source_of_Energy,Not set
112808-1,Source_of_Energy,Not set
112431-2,Source_of_Energy,National Grid
113679-5,Source_of_Energy,Not set
104284-5,Source_of_Energy,National Grid
104284-5,Source_of_Energy,Generator
113085-5,Source_of_Energy,Not set
110987-5,Source_of_Energy,Not set
111756-3,Source_of_Energy,Not set
110365-4,Source_of_Energy,National Grid
104325-6,Source_of_Energy,Not set
112812-3,Source_of_Energy,Not set
104385-0,Source_of_Energy,Not set
111549-2,Source_of_Energy,Not set
104393-4,Source_of_Energy,Not set
111358-8,Source_of_Energy,Solar Panels
113380-0,Source_of_Energy,Not set
108504-2,Source_of_Energy,Not set
113880-9,Source_of_Energy,National Grid
109142-0,Source_of_Energy,Not set
112864-4,Source_of_Energy,National Grid
104468-4,Source_of_Energy,Not set
104470-0,Source_of_Energy,Not set
112960-0,Source_of_Energy,Not set
104483-3,Source_of_Energy,National Grid
111360-4,Source_of_Energy,Not set
104500-4,Source_of_Energy,Solar Panels
104503-8,Source_of_Energy,Not set
111543-5,Source_of_Energy,Not set
110329-0,Source_of_Energy,Not set
113076-4,Source_of_Energy,Not set
111916-3,Source_of_Energy,Not set
112652-3,Source_of_Energy,Not set
104551-7,Source_of_Energy,Not set
112584-8,Source_of_Energy,Not set
111725-8,Source_of_Energy,Not set
112976-6,Source_of_Energy,National Grid
112824-8,Source_of_Energy,National Grid
104581-4,Source_of_Energy,Not set
113860-1,Source_of_Energy,Not set
111915-5,Source_of_Energy,Not set
111771-2,Source_of_Energy,Not set
104596-2,Source_of_Energy,Not set
104597-0,Source_of_Energy,Not set
113066-5,Source_of_Energy,Not set
113395-8,Source_of_Energy,Not set
113892-4,Source_of_Energy,National Grid
104678-8,Source_of_Energy,No Electricity
104679-6,Source_of_Energy,Not set
111297-8,Source_of_Energy,No Electricity
113788-4,Source_of_Energy,Not set
110363-9,Source_of_Energy,Not set
112578-0,Source_of_Energy,Not set
112119-3,Source_of_Energy,National Grid
104715-8,Source_of_Energy,National Grid
104715-8,Source_of_Energy,Generator
113508-6,Source_of_Energy,National Grid
111108-7,Source_of_Energy,Not set
113235-6,Source_of_Energy,Not set
113141-6,Source_of_Energy,Not set
111739-9,Source_of_Energy,Not set
113257-0,Source_of_Energy,Not set
112002-1,Source_of_Energy,Not set
112052-6,Source_of_Energy,Not set
113219-0,Source_of_Energy,Not set
113805-6,Source_of_Energy,No Electricity
113805-6,Source_of_Energy,Other
104773-7,Source_of_Energy,Not set
104789-3,Source_of_Energy,Not set
113207-5,Source_of_Energy,Not set
113715-7,Source_of_Energy,Not set
104814-9,Source_of_Energy,Solar Panels
104822-2,Source_of_Energy,Not set
113275-2,Source_of_Energy,Not set
113526-8,Source_of_Energy,Not set
104836-2,Source_of_Energy,Not set
111274-7,Source_of_Energy,Not set
113500-3,Source_of_Energy,Not set
111874-4,Source_of_Energy,Not set
111810-8,Source_of_Energy,National Grid
111811-6,Source_of_Energy,Not set
111807-4,Source_of_Energy,National Grid
111577-3,Source_of_Energy,Not set
111425-5,Source_of_Energy,National Grid
111425-5,Source_of_Energy,Generator
113232-3,Source_of_Energy,Generator
113232-3,Source_of_Energy,Solar Panels
104863-6,Source_of_Energy,National Grid
104863-6,Source_of_Energy,Generator
111519-5,Source_of_Energy,Not set
111920-5,Source_of_Energy,Not set
104878-4,Source_of_Energy,Not set
104891-7,Source_of_Energy,Not set
109732-8,Source_of_Energy,Not set
112809-9,Source_of_Energy,National Grid
113192-9,Source_of_Energy,Not set
112395-9,Source_of_Energy,Not set
104973-3,Source_of_Energy,Not set
105009-5,Source_of_Energy,Not set
113568-0,Source_of_Energy,National Grid
105021-0,Source_of_Energy,Not set
113075-6,Source_of_Energy,Not set
111352-1,Source_of_Energy,Not set
105041-8,Source_of_Energy,Not set
105062-4,Source_of_Energy,Not set
105070-7,Source_of_Energy,Not set
105078-0,Source_of_Energy,Not set
105089-7,Source_of_Energy,Not set
105105-1,Source_of_Energy,Solar Panels
112985-7,Source_of_Energy,Not set
113162-2,Source_of_Energy,Not set
112450-2,Source_of_Energy,Not set
113063-2,Source_of_Energy,Not set
105205-9,Source_of_Energy,Solar Panels
113383-4,Source_of_Energy,Not set
112062-5,Source_of_Energy,National Grid
109772-4,Source_of_Energy,Not set
113245-5,Source_of_Energy,Not set
113469-1,Source_of_Energy,Not set
110341-5,Source_of_Energy,Not set
113789-2,Source_of_Energy,Not set
113511-0,Source_of_Energy,National Grid
110344-9,Source_of_Energy,No Electricity
111525-2,Source_of_Energy,No Electricity
111525-2,Source_of_Energy,Other
105283-6,Source_of_Energy,Not set
105294-3,Source_of_Energy,Solar Panels
112700-0,Source_of_Energy,Not set
112012-0,Source_of_Energy,Not set
