Facility_ID,Facility Name,Ward,Village/Street,Facility Type,Operating Status,Ownership,Latitude,Longitude,Facility_Zone,Facility_Region,Facility_District,Facility_Council,Facility_Location,Common_Facility_Name,Registration_ID,CTC_ID,MTUHA_Code,MSD_ID,Facility_Type,Facility_Ownership,Facility_Operating_Status,Facility_Registration_Status,Location_Description,Waypoint_Number,Altitude(Meters),Service_Areas(Villages),Catchment_Population,Date_Opened/Inaugurated/Upgraded,Year,Postal_Address,Postal_Code,Official_Phone_#,Official_Fax_#,Official_Email,Facility_In-Charge_Name,Facility_In-Charge_Cadre,Website
113064-0,Amanda,Mjimwema,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Not set,Not set,PHL-C/NJM/AUT/013,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,01 03 2017,2017,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113069-9,Amani,Matarawe,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Zone,Ruvuma,Songea,Songea MC,Not set,Not set,PHL-C/RUV/AUT/06,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100103-1,Amani,Karanga,Not set,Dispensary,Closed,Private,,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113100-2,Amani,Bariadi,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed (Temporary),Private - For Profit,,,Western Zone,Simiyu,Bariadi,Bariadi TC,Not set,Not set,PHL-C/SMY/AUT/04,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed (Temporary),Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111548-4,Amani Pentecoaste,Masebe,Masebe,Dispensary,Closed,Private,,,Southern Highlands Zone,Mbeya,Rungwe,Rungwe DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111908-0,Amani Seif Memorial,Chanika,Zingiziwa,Dispensary,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Masjid kibadeni,Kibaden dispensary,72462,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Masjid kibadeni,Not set,Not set,Ngobedi,10000,04 07 2017,1,P.O.Box 77664,Not set,655547767,Not set,asemdispensary@gmail.com,Daharani Juma,medical doctor,Not set
111942-9,Amina,Mabawa,Miembeni A,Dispensary,Operating,Private - For Profit,,,Northern Zone,Tanga,Tanga,Tanga CC,Not set,Amina,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112694-5,Amina,Tongoni,Tongoni,Maternity and Nursing Home,Closed (Temporary),Private - For Profit,,,Northern Zone,Tanga,Tanga,Tanga CC,Not set,Amina Nursing and Maternity Home,Not set,Not set,Not set,Not set,Maternity and Nursing Home,Private - For Profit,Closed (Temporary),Registration Suspended,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Box 6047 Tanga,Not set,713442237,Not set,Not set,Amina Faraji Mrutu,Enrolled Nurse,Not set
113485-7,Anko J(MICO),Tandale,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT/026,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113290-1,Anne,Msata,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Eastern Zone,Pwani,Bagamoyo,Chalinze DC,Not set,Not set,PHL-C/PWN/AUT/018,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113222-4,Apan,Chumbageni,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Northern Zone,Tanga,Tanga,Tanga CC,Not set,Not set,PHL-C/TAG/AUT/09,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111202-8,Arafa,Ndala,Kampala,Dispensary,Operating,Private - Faith based organization (FBO),,,Western Zone,Tabora,Nzega,Nzega DC,Not set,Arafa,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Not set,Not set,Not set,uhemeli,Not set,01 07 2015,Not set,Not set,Not set,Not set,Not set,Not set,G.CHACHA,CO,Not set
100141-1,Arafa (Capricorn),Makumbusho,Makumbusho,Maternity Home,Closed,Private - For Profit,,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100145-2,Arafa Fang Zho,Magomeni,Suna,Dispensary,Closed,Private - Faith based organization (FBO),,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Arafa Fang Zho,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100146-0,Arafa Furaha,Not set,Not set,Dispensary,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112149-0,Arafa Juhudi,Chanika,Tunguni,Dispensary,Operating,Private - Faith based organization (FBO),,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Not set,Not set,Not set,Chanika,6521,04 09 2017,2017,Not set,Not set,713197648,Not set,Not set,Innocent N Matau,Not set,Not set
100152-8,Arafa kilimahewa.,Makuburi,Makuburi,Dispensary,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111658-1,Arafa Kisukuru,Kimanga,Kisukuru,Dispensary,Operating,Private - Faith based organization (FBO),,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Karibu na Mangara Msikitini,Kwa Hamisi,72445,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Karibu na Mangara Msikitini,Not set,Not set,kimanga,5500,23 05 2016,2,Box 45154 Dar Es Salaam,12104,713441148,Not set,arafadisppry@gmail.com,Steven A. Kimweri,Assistant Medical Officer,Not set
110637-6,Arafa Mikocheni,Mikocheni,Mikocheni B,Dispensary,Closed,Private - Faith based organization (FBO),,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Near J S Babhra dispensary,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Closed,Not set,Near J S Babhra dispensary,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111431-3,Arafa Sitakishari,Kipawa,Karakata,Dispensary,Operating,Private - Faith based organization (FBO),,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Not set,Not set,Not set,"Shaurimoyo, Karume, Ilala",3471,04 02 2019,2019,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111334-9,Arafa Uyole,Igawilo,Sokoni,Dispensary,Closed,Private,,,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Not set,Arafa hospitali,Not set,Not set,Not set,Not set,Dispensary,Private,Closed,Registered,Not set,Not set,Not set,Not set,Not set,01 12 2015,2015,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112640-8,Arise,Kariakoo,Kariakoo Mashariki,Clinic - Other Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,72552,Not set,Not set,Not set,Clinic - Other Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,04 02 2019,2019,Box 20342,Not set,Not set,Not set,Not set,Dr Wilson Rutachunzibwa,Specialist,Not set
112679-6,Arma,Nyamagana,Capri Point,Maternity and Nursing Home,Operating,Private - For Profit,,,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Not set,Arma Maternity Home,Not set,Not set,Not set,Not set,Maternity and Nursing Home,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,"Box 1029 Nyamagana,Mwanza",Not set,787727035,Not set,armaprinmat@yahoo.com,Herijema Yona Nalaila,Registered Nurse,Not set
111993-2,arusha centre,Not set,Not set,Health Labs,Operating,Private - For Profit,,,Northern Zone,Arusha,Arusha,Arusha CC,Not set,Not set,PHL-C/AR/AUT/31,Not set,Not set,Not set,Health Labs,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112384-3,Arusha City Council,Engutoto,Block H,Hospital - District Hospital,Pending Operation - Under Construction,Public - LGA,,,Northern Zone,Arusha,Arusha,Arusha CC,Not set,Arusha City Council Hospital,Not set,Not set,Not set,Not set,Hospital - District Hospital,Public - LGA,Pending Operation - Under Construction,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,3013 Arusha,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112433-8,As-Sadiq Health Services,Kisutu,Kisutu,Clinic - Polyclinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Nearby Azam round about Posta,As-Sadiq,72544,Not set,Not set,Not set,Clinic - Polyclinic,Private - For Profit,Operating,Registered,Nearby Azam round about Posta,Not set,Not set,Kisutu,600000,09 10 2018,2018,19858 DSM,Not set,222 127 032,Not set,inf@shs.co.tz,Syed Jafar Rizui,Dentist/Propictor,Not set
112946-9,Ashok,Kiboriloni,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Not set,Not set,PHL-C/KIL/AUT/02,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113015-2,Asifiwe,Kalinzi,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Western Zone,Kigoma,Kigoma,Kigoma DC,Not set,Not set,PHL-C/KGM/AUT/012,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113682-9,Ayasanda,Ayasanda,Ayasanda,Dispensary,Pending Operation - Under Construction,Public - LGA,,,Northern Zone,Manyara,Babati,Babati DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Pending Operation - Under Construction,Not Registered,Not set,Not set,Not set,Endanachan,7469,14 03 2007,2007,Box 400 Babati-Manyara,Not set,Not set,Not set,Not set,Yohana Mathias,Clinical Officer,Not set
111719-1,Azimio Mswiswi,Kongolo,Not set,Dispensary,Pending Operation - Under Construction,Public - LGA,,,Southern Highlands Zone,Mbeya,Mbarali,Mbarali DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Pending Operation - Under Construction,Not Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112568-1,Bacaro,Bweri,Not set,Health Labs,Operating,Private - For Profit,,,Lake Zone,Mara,Musoma,Musoma MC,Not set,Not set,PHL-C/MAR/AUT/022,Not set,Not set,Not set,Health Labs,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,PHOEBE JOSEPH,LABORATORY TECHNOLOGIST,Not set
111419-8,Baga,Mtombozi,Baga,Dispensary,Pending Operation - Under Construction,Public,,,Eastern Zone,Morogoro,Morogoro,Morogoro DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public,Pending Operation - Under Construction,Not set,Not set,Not set,Not set,8615,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111914-8,Baghai,Mlalo,Baghai,Dispensary,Pending Operation - Under Construction,Public - LGA,,,Northern Zone,Tanga,Lushoto,Lushoto DC,Not set,Baghai,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Pending Operation - Under Construction,Not Registered,Not set,Baghai,Not set,Not set,Not set,Not set,Not set,"Box 66, Lushoto",Not set,Not set,Not set,Not set,Not set,Not set,Not set
113493-1,Bahari,Ndugumbi,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT/033,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110129-4,Bakwata B Nyasubi,Nyasubi,Nyasubi,Dispensary,Operating,Private - For Profit,,,Western Zone,Shinyanga,Kahama,Kahama TC,Not set,Bakwata B,175013,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,14 07 2010,2010,Kahama,184,Not set,Not set,fredydamian@yahoo.com,Daniel O Lema,Clinical officer,Not set
111462-8,BAKWATA 01,Nzega Mjini,Not set,Dispensary,Closed (Temporary),Private - For Profit,,,Western Zone,Tabora,Nzega,Nzega TC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed (Temporary),Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109777-3,Bakwata Huruma,Igulwa,Igulwa,Dispensary,Closed,Private - For Profit,,,Lake Zone,Geita,Bukombe,Bukombe DC,Near by Msonga Dispensary,Bakwata,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Registered,Near by Msonga Dispensary,11,1248,"Igulwa, Katente, Buntubili, Ushirombo",1300,01 07 1997,1997,Not set,Not set,Not set,Not set,Not set,Peter Ndongo,Assitant Clinical Officer,Not set
112138-3,BAKWATA Kakola,Bulyanhulu,Kakola,Dispensary,Operating,Private - Faith based organization (FBO),,,Western Zone,Shinyanga,Kahama,Msalala DC,Not set,Not set,174221,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Not set,Not set,Not set,"kakola,ilogi,Bulyankulu",Not set,Not set,2017,Not set,Not set,Not set,Not set,Not set,Emmanuel Kiri.,ACO,Not set
